x,Basement Index,Balanced NASDAQ
2022-10-05,-0.06069424,-0.25
2022-10-06,-0.689828794,-0.68
2022-10-07,-3.199909745,-3.8
2022-10-10,-0.849339436,-1.04
2022-10-11,-0.953394718,-1.1
2022-10-12,0.186230985,-0.09
2022-10-13,2.741266129,2.23
2022-10-14,-2.260200033,-3.08
2022-10-17,3.405621672,3.43
2022-10-18,0.893564946,0.9
2022-10-19,-0.350382262,-0.85
2022-10-20,-0.817272634,-0.61
2022-10-21,2.842013753,2.31
2022-10-24,0.930596992,0.86
2022-10-25,1.094886776,2.25
2022-10-26,-1.84019142,-2.04
2022-10-27,-1.06854994,-1.63
2022-10-28,2.141841223,2.87
2022-10-31,-0.772192576,-1.03
2022-11-01,-1.257464993,-0.89
2022-11-02,-2.840638305,-3.36
2022-11-03,-1.407076424,-1.73
2022-11-04,0.969820137,1.28
2022-11-07,0.482666006,0.85
2022-11-08,0.096146216,0.49
2022-11-09,-2.860344124,-2.48
2022-11-10,5.672329245,7.35
2022-11-11,1.169787831,1.88
2022-11-14,-0.979945157,-1.12
2022-11-15,0.49791567,1.45
2022-11-16,-2.427180738,-1.54
2022-11-17,-1.603445787, null
